campus,nome-do-curso,modalidade-do-curso,turno-de-oferta,modalidade-de-oferta,vagas-ofertadas
Arcos,Engenharia Mecanica,Bacharelado,Integral,Presencial,50
Bambui,Administracao,Bacharelado,Noturno,Presencial,40
Bambui,Agronomia,Bacharelado,Integral,Presencial,40
Bambui,Ciencias Biologicas,Licenciatura,Noturno,Presencial,40
Bambui,Educacao Fisica,Licenciatura,Noturno,Presencial,40
Bambui,Engenharia de Alimentos,Bacharelado,Integral,Presencial,40
Bambui,Engenharia de Computacao,Bacharelado,Integral,Presencial,30
Bambui,Engenharia de Producao,Bacharelado,Integral,Presencial,40
Bambui,Fisica,Licenciatura,Noturno,Presencial,40
Bambui,Medicina Veterinaria,Bacharelado,Integral,Presencial,40
Bambui,Zootecnia,Bacharelado,Integral,Presencial,44
Betim,Engenharia de Controle e Automacao,Bacharelado,Noturno,Presencial,36
Betim,Engenharia Mecanica,Bacharelado,Noturno,Presencial,36
Congonhas,Engenharia de Producao,Bacharelado,Noturno,Presencial,40
Congonhas,Engenharia Mecanica,Bacharelado,Noturno,Presencial,40
Congonhas,Fisica,Licenciatura,Noturno,Presencial,40
Congonhas,Letras (Portugues/Ingles),Licenciatura,Noturno,Presencial,30
Formiga,Administracao,Bacharelado,Noturno,Presencial,40
Formiga,Ciencia da Computacao,Bacharelado,Integral,Presencial,40
Formiga,Engenharia Eletrica,Bacharelado,Integral,Presencial,40
Formiga,Matematica,Licenciatura,Noturno,Presencial,40
Governador Valadares,Engenharia Ambiental e Sanitaria,Bacharelado,Integral,Presencial,40
Governador Valadares,Engenharia Civil,Bacharelado,Noturno,Presencial,40
Governador Valadares,Engenharia de Producao,Bacharelado,Noturno,Presencial,40
Governador Valadares,Gestao Ambiental,Superior de Tecnologia,Noturno,Presencial,40
Ibirite,Engenharia de Controle e Automacao,Bacharelado,Diurno,Presencial,40
Ipatinga,Engenharia Eletrica,Bacharelado,Integral,Presencial,40
Itabirito,Engenharia Eletrica,Bacharelado,Noturno,Presencial,40
Ouro Branco,Administracao,Bacharelado,Noturno,Presencial,50
Ouro Branco,Engenharia Metalurgica,Bacharelado,Noturno,Presencial,50
Ouro Branco,Pedagogia,Licenciatura,Noturno,Presencial,50
Ouro Branco,Sistema de Informacao,Bacharelado,Noturno,Presencial,50
Ouro Preto,Conservacao e Restauro,Superior de Tecnologia,Noturno,Presencial,36
Ouro Preto,Fisica,Licenciatura,Noturno,Presencial,25
Ouro Preto,Geografia,Licenciatura,Noturno,Presencial,40
Ouro Preto,Gestao da Qualidade,Superior de Tecnologia,Noturno,Presencial,36
Piumhi,Engenharia Civil,Bacharelado,Integral,Presencial,40
Ponte Nova,Processos Gerenciais,Superior de Tecnologia,Noturno,Presencial,40
Ribeirao das Neves,Administracao,Bacharelado,Matutino,Presencial,40
Ribeirao das Neves,Processos Gerenciais,Superior de Tecnologia,Noturno,Presencial,52
Sabara,Administracao,Bacharelado,Noturno,Presencial,40
Sabara,Engenharia de Controle e Automacao,Bacharelado,Integral,Presencial,40
Sabara,Logistica,Superior de Tecnologia,Noturno,Presencial,40
Sabara,Sistema de Informacao,Bacharelado,Matutino,Presencial,40
Santa Luzia,Arquitetura e Urbanismo,Bacharelado,Vespertino,Presencial,40
Santa Luzia,Design de Interiores,Superior de Tecnologia,Noturno,Presencial,40
Santa Luzia,Engenharia Civil,Bacharelado,Noturno,Presencial,40
Sao Joao Evangelista,Administracao,Bacharelado,Noturno,Presencial,40
Sao Joao Evangelista,Agronomia,Bacharelado,Integral,Presencial,40
Sao Joao Evangelista,Ciencias Biologicas,Licenciatura,Noturno,Presencial,40
Sao Joao Evangelista,Engenharia Florestal,Bacharelado,Integral,Presencial,40
Sao Joao Evangelista,Matematica,Licenciatura,Noturno,Presencial,40
Sao Joao Evangelista,Sistema de Informacao,Bacharelado,Integral,Presencial,40
