campus,mes-de-apuracao,discentes,docentes
Arcos,Agosto de 2024,916,25
Bambuí,Agosto de 2024,1857,156
Betim,Agosto de 2024,939,68
Congonhas,Agosto de 2024,1069,82
Conselheiro Lafaiete,Agosto de 2024,395,23
Formiga,Agosto de 2024,736,75
Governador Valadares,Agosto de 2024,877,60
Ibirité,Agosto de 2024,735,51
Ipatinga,Agosto de 2024,551,25
Itabirito,Agosto de 2024,384,31
Ouro Branco,Agosto de 2024,1002,72
Ouro Preto,Agosto de 2024,1873,125
Piumhi,Agosto de 2024,357,22
Ponte Nova,Agosto de 2024,388,23
Ribeirão das Neves,Agosto de 2024,922,51
Sabará,Agosto de 2024,880,56
Santa Luzia,Agosto de 2024,960,57
São João Evangelista,Agosto de 2024,1300,96
